obs_x,obs_y,bearing_meas,bearing_true,snr_meas,target_x,target_y,bearing_body_meas,time
-15.16853835,-9.963051023,103.06688,199.3227493,7.86673,-68.19451947,-161.1878745,-0.70312,1
-15.16853835,-9.963051023,107.1975,199.3227493,9.9065,-68.19451947,-161.1878745,-2.8125,2
-15.16853623,-8.851101757,114.84062,199.1920567,6.81458,-68.19451947,-161.1878745,-2.10938,3
-15.16853623,-8.851101757,121.34062,199.1920567,7.62236,-68.19451947,-161.1878745,-2.10938,4
-15.16853623,-8.851101757,129.38688,199.1920567,9.14988,-68.19451947,-161.1878745,-0.70312,5
-15.16853623,-8.851101757,134.41062,199.1920567,10.52457,-68.19451947,-161.1878745,-2.10938,6
-15.16853623,-8.851101757,194.74438,199.1920567,21.70269,-68.19451947,-161.1878745,52.73438,7
-15.16853623,-8.851101757,144.9775,199.1920567,19.46402,-68.19451947,-161.1878745,-2.8125,8
-15.16853623,-8.851101757,207.3075,199.1920567,22.43298,-68.19451947,-161.1878745,53.4375,9
-15.16853623,-8.851101757,203.89688,199.1920567,24.02888,-68.19451947,-161.1878745,44.29688,10
-15.16853412,-7.73915249,163.42062,199.0630549,11.58862,-68.19451947,-161.1878745,-2.10938,11
-15.16853412,-7.73915249,168.73062,199.0630549,15.78795,-68.19451947,-161.1878745,-2.10938,12
-15.16853412,-7.73915249,174.19062,199.0630549,15.78795,-68.19451947,-161.1878745,-2.10938,13
-15.16853412,-7.73915249,179.10062,199.1920543,14.66433,-68.19450997,-160.0759253,-2.10938,14
-14.29927715,-7.739154094,202.35812,199.4831483,29.37402,-68.19450997,-160.0759253,17.57812,15
-14.29927715,-7.739154094,196.03062,199.4831483,29.81105,-68.19450997,-160.0759253,9.14062,16
-14.29927715,-7.739154094,200.04312,199.4831483,28.81045,-68.19450997,-160.0759253,11.95312,17
-14.29927715,-7.739154094,198.94688,199.4831483,28.85188,-68.19450997,-160.0759253,10.54688,18
-14.29927715,-7.739154094,188.03,199.4831483,0,-68.19450997,-160.0759253,0,19
-14.29927715,-7.739154094,198.95312,199.4831483,27.173,-68.19450997,-160.0759253,11.95312,20
-14.29927715,-7.739154094,187.76938,199.4831483,28.65335,-68.19450997,-160.0759253,2.10938,21
-14.29927715,-7.739154094,189.90812,199.4831483,28.65332,-68.19450997,-160.0759253,6.32812,22
-14.29927715,-7.739154094,193.66312,199.4831483,24.98702,-68.19450997,-160.0759253,11.95312,23
-14.29927715,-7.739154094,193.42938,199.1920543,21.37743,-67.32523642,-160.0759326,13.35938,24
-14.29927914,-8.85110336,182.24562,199.3227469,24.44156,-67.32523642,-160.0759326,3.51562,25
-14.29927914,-8.85110336,197.19438,199.3227469,26.02173,-67.32523642,-160.0759326,18.98438,26
-13.43002205,-8.851104869,197.4375,199.6155075,21.08017,-67.32523642,-160.0759326,19.6875,27
-13.43002205,-8.851104869,184.97438,199.6155075,23.01138,-67.32523642,-160.0759326,7.73438,28
-13.43002205,-8.851104869,198.96688,199.6155075,26.35533,-67.32523642,-160.0759326,21.79688,29
-13.43002205,-8.851104869,189.81625,199.6155075,25.90105,-67.32523642,-160.0759326,12.65625,30
-13.43002205,-8.851104869,190.07625,199.6155075,25.90105,-67.32523642,-160.0759326,12.65625,31
-13.43002205,-8.851104869,198.23062,199.6155075,25.83062,-67.32523642,-160.0759326,20.39062,32
-13.43002205,-8.851104869,195.85812,199.6155075,31.8983,-67.32523642,-160.0759326,17.57812,33
-13.43002205,-8.851104869,197.63438,199.6155075,28.53288,-67.32523642,-160.0759326,18.98438,34
